date_set,mean_WSPD_diff,std_WSPD_diff,mean_WDIR_diff,std_WDIR_diff
01-Aug-2021,0.12,1.128,13.954,16.091
02-Aug-2021,-0.178,1.44,6.418,14.356
03-Aug-2021,0.118,0.848,5.158,43.51
04-Aug-2021,0.776,1.051,-2.179,39.178
05-Aug-2021,-0.032,1.525,13.244,46.738
06-Aug-2021,1.103,1.069,-2.482,23.694
07-Aug-2021,-0.004,0.99,3.103,27.541
08-Aug-2021,0.29,0.978,6.859,6.623
09-Aug-2021,0.15,1.395,9.658,5.819
10-Aug-2021,0.797,1.148,17.806,21.617
11-Aug-2021,-0.059,0.913,11.603,19.747
12-Aug-2021,-0.065,0.575,-4.772,19.699
13-Aug-2021,-0.369,1.643,8.778,7.889
14-Aug-2021,-0.036,1.067,12.291,11.203
15-Aug-2021,-1.675,1.317,6.909,62.249
16-Aug-2021,0.315,1.105,11.028,12.693
17-Aug-2021,-0.076,1.274,12.987,8.005
18-Aug-2021,-0.835,0.9,7.032,7.951
19-Aug-2021,-0.408,1.275,8.946,12.438
20-Aug-2021,0.217,0.844,-11.245,18.472
21-Aug-2021,0.607,0.473,24.487,16.886
22-Aug-2021,-0.037,0.853,9.08,6.831
23-Aug-2021,0.698,0.662,5.96,6.464
24-Aug-2021,0.126,0.533,12.759,11.337
25-Aug-2021,0.337,1.256,8.967,5.441
26-Aug-2021,0.299,1.005,6.86,9.594
27-Aug-2021,0.457,1.389,14.338,11.54
28-Aug-2021,0.488,1.328,11.041,6.499
29-Aug-2021,-0.229,1.269,7.843,11.468
30-Aug-2021,-0.813,0.968,0.634,10.178
31-Aug-2021,0.047,0.698,14.55,9.944
01-Sep-2021,1.066,0.521,-2.483,12.53
02-Sep-2021,0.004,0.924,1.33,18.144
03-Sep-2021,1.219,0.507,6.34,8.137
04-Sep-2021,0.515,1.211,15.01,23.485
05-Sep-2021,0.299,0.57,12.849,12.903
06-Sep-2021,0.348,0.897,-5.968,29.208
07-Sep-2021,0.436,0.541,104.826,91.489
08-Sep-2021,0.18,0.843,13.834,13.01
09-Sep-2021,0.252,0.626,10.49,9.246
