"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"scaling_fac",0.0196368384141442,0.0197070568814103,0.0197580871900297,0.0196768518391965,0.0198045913367087,0.0197985728757959,0.0197740597167307,0.0198371710137348,0.0197738358131684,0.019796214561105,0.019798128601049,0.0197812334916138,0.0193654599031627
"scaling_fac",0.0196035353055411,0.0196844127871113,0.0197445163267545,0.0196707387005131,0.0198041402532321,0.0198021319696838,0.0197798968288194,0.0198435397131655,0.0197787610390235,0.0197976021823075,0.0197936304994221,0.0197682797916106,0.0193419995666107
"scaling_fac",0.0195956067490993,0.0196798596635828,0.019743387107936,0.0196730551189314,0.0198099303900997,0.0198114075977863,0.0197926462000909,0.0198597803162068,0.0197982395823317,0.0198200766378288,0.0198185959824779,0.0197950072731541,0.0193691351464601
"scaling_fac",0.0195459316036689,0.0196371811473171,0.0197062258254554,0.0196401663812981,0.0197795671763844,0.019782542823555,0.0197641985846156,0.0198307797630303,0.0197684484978375,0.0197894716177671,0.0197879388786558,0.0197658209126226,0.0193440632198837
"scaling_fac",0.0194178475624676,0.019506474783373,0.0195753384136453,0.0195122158431332,0.0196553180680338,0.0196648893490513,0.0196550596331273,0.0197312316154464,0.0196803036520849,0.0197129267117271,0.0197231138736389,0.01971201963503,0.0193006720041813
"scaling_fac",0.0193645597569006,0.0194459907927103,0.0195087818586248,0.0194411516975973,0.0195801158591733,0.01958711939787,0.0195758885053195,0.0196513580376122,0.0196012168302903,0.0196351689379628,0.0196475392903253,0.0196393185552013,0.0192327110669149
"scaling_fac",0.0194853293615412,0.0195629683894732,0.0196217704533914,0.019549381480383,0.0196847742745755,0.0196875241851474,0.0196720921813876,0.0197441904661921,0.019691123581901,0.0197243948078449,0.0197387817283668,0.0197364125302954,0.0193378928090623
"scaling_fac",0.0195545367882261,0.0196242126235541,0.0196754666931793,0.0195956844676946,0.0197246730467067,0.0197211084167416,0.019699730957912,0.0197661657961806,0.0197069097167098,0.0197330678538288,0.019738504762283,0.0197244420288183,0.0193116229452205
"scaling_fac",0.0195620804011089,0.0196293424889209,0.0196784477766999,0.0195968110185938,0.0197243030466311,0.0197196008137854,0.0196975004312577,0.019763694277629,0.0197048653724214,0.0197322859614252,0.0197400648449682,0.0197296858030582,0.0193218155908995
"scaling_fac",0.019640275626579,0.0196811000688306,0.019708485845163,0.0196097639187186,0.0197249915346685,0.0197122932023145,0.0196863324874527,0.0197521731448769,0.0196956715648908,0.0197267846465349,0.0197382402885763,0.0197297447431666,0.0193205516521653
